Date,Close
3/3/2015,19.23
3/4/2015,19.14
3/5/2015,19.39
3/6/2015,19
3/9/2015,18.93
3/10/2015,18.48
3/11/2015,18.32
3/12/2015,18.71
3/13/2015,18.53
3/16/2015,18.67
3/17/2015,18.6
3/18/2015,18.76
3/19/2015,18.66
3/20/2015,18.92
3/23/2015,18.76
3/24/2015,18.7
3/25/2015,18.55
3/26/2015,18.37
3/27/2015,18.53
3/30/2015,18.73
3/31/2015,18.61
4/1/2015,18.51
4/2/2015,18.61
4/6/2015,18.85
4/7/2015,18.72
4/8/2015,19.06
4/9/2015,19.18
4/10/2015,19.13
4/13/2015,19.12
4/14/2015,19.26
4/15/2015,19.17
4/16/2015,19.3
4/17/2015,18.78
4/20/2015,19.48
4/21/2015,19.56
4/22/2015,19.49
4/23/2015,19.5
4/24/2015,22.26
4/27/2015,21.93
4/28/2015,21.47
4/29/2015,21.47
4/30/2015,21.09
5/1/2015,21.14
5/4/2015,21.15
5/5/2015,21.06
5/6/2015,20.96
5/7/2015,21.34
5/8/2015,21.68
5/11/2015,21.64
5/12/2015,21.55
5/13/2015,21.34
5/14/2015,21.61
5/15/2015,21.3
5/18/2015,21.26
5/19/2015,21.09
5/20/2015,21.19
5/21/2015,21.58
5/22/2015,21.38
5/26/2015,21.27
5/27/2015,21.57
5/28/2015,21.33
5/29/2015,21.46
6/1/2015,21.55
6/2/2015,21.55
6/3/2015,21.83
6/4/2015,21.54
6/5/2015,21.35
6/8/2015,21.18
6/9/2015,21.27
6/10/2015,21.54
6/11/2015,21.65
6/12/2015,21.5
6/15/2015,21.18
6/16/2015,21.36
6/17/2015,21.39
6/18/2015,21.97
6/19/2015,21.75
6/22/2015,21.81
6/23/2015,22.3
6/24/2015,22.04
6/25/2015,22.01
6/26/2015,21.91
6/29/2015,21.49
6/30/2015,21.7
7/1/2015,21.87
7/2/2015,21.89
7/6/2015,21.8
7/7/2015,21.84
7/8/2015,21.49
7/9/2015,21.72
7/10/2015,22.18
7/13/2015,22.78
7/14/2015,23.28
7/15/2015,23.06
7/16/2015,23.77
7/17/2015,24.15
7/20/2015,24.41
7/21/2015,24.4
7/22/2015,24.41
7/23/2015,24.11
7/24/2015,26.47
7/27/2015,26.57
7/28/2015,26.3
7/29/2015,26.45
7/30/2015,26.84
7/31/2015,26.81
8/3/2015,26.75
8/4/2015,26.6
8/5/2015,26.85
8/6/2015,26.47
8/7/2015,26.13
8/10/2015,26.2
8/11/2015,26.37
8/12/2015,26.3
8/13/2015,26.48
8/14/2015,26.58
8/17/2015,26.76
8/18/2015,26.75
8/19/2015,26.65
8/20/2015,25.79
8/21/2015,24.72
8/24/2015,23.17
8/25/2015,23.32
8/26/2015,25.04
8/27/2015,25.92
8/28/2015,25.9
8/31/2015,25.64
9/1/2015,24.83
9/2/2015,25.53
9/3/2015,25.24
9/4/2015,24.95
9/8/2015,25.88
9/9/2015,25.84
9/10/2015,26.11
9/11/2015,26.47
9/14/2015,26.07
9/15/2015,26.12
9/16/2015,26.37
9/17/2015,26.94
9/18/2015,27.01
9/21/2015,27.42
9/22/2015,26.92
9/23/2015,26.8
9/24/2015,26.69
9/25/2015,26.21
9/28/2015,25.2
9/29/2015,24.8
9/30/2015,25.59
10/1/2015,26.04
10/2/2015,26.63
10/5/2015,27.18
10/6/2015,26.87
10/7/2015,27.1
10/8/2015,26.66
10/9/2015,26.99
10/12/2015,27.51
10/13/2015,27.45
10/14/2015,27.24
10/15/2015,28.12
10/16/2015,28.54
10/19/2015,28.66
10/20/2015,28.04
10/21/2015,27.79
10/22/2015,28.2
10/23/2015,29.95
10/26/2015,30.43
10/27/2015,30.55
10/28/2015,30.86
10/29/2015,31.33
10/30/2015,31.3
11/2/2015,31.42
11/3/2015,31.27
11/4/2015,32.05
11/5/2015,32.78
11/6/2015,32.97
11/9/2015,32.77
11/10/2015,32.98
11/11/2015,33.66
11/12/2015,33.28
11/13/2015,32.12
11/16/2015,32.39
11/17/2015,32.17
11/18/2015,33.18
11/19/2015,33.06
11/20/2015,33.42
11/23/2015,33.95
11/24/2015,33.56
11/25/2015,33.77
11/27/2015,33.66
11/30/2015,33.24
12/1/2015,33.95
12/2/2015,33.8
12/3/2015,33.31
12/4/2015,33.63
12/7/2015,33.49
12/8/2015,33.87
12/9/2015,33.24
12/10/2015,33.12
12/11/2015,32.01
12/14/2015,32.9
12/15/2015,32.93
12/16/2015,33.79
12/17/2015,33.53
12/18/2015,33.21
12/21/2015,33.23
12/22/2015,33.16
12/23/2015,33.19
12/24/2015,33.14
12/28/2015,33.76
12/29/2015,34.7
12/30/2015,34.45
12/31/2015,33.79
1/4/2016,31.85
1/5/2016,31.69
1/6/2016,31.63
1/7/2016,30.4
1/8/2016,30.35
1/11/2016,30.89
1/12/2016,30.89
1/13/2016,29.09
1/14/2016,29.65
1/15/2016,28.51
1/19/2016,28.72
1/20/2016,28.59
1/21/2016,28.75
